,vaccine,Geographic_Level,Geographic_Name,Demographic_Level,Demographic_Name,Indicator_label,Indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_95pct,Unweighted_Sample_Size,suppression_flag
34390,COVID,State,Maine,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,June Week 4,2025-06-28 00:00:00.0000000,,,1827,1
34391,COVID,Region,Region 5,Overall,6 months-17 years,Up-to-date,Yes,June Week 2,2025-06-14 00:00:00.0000000,16.3456,1.0586,13544,0
34392,COVID,State,Maine,Overall,6 months-17 years,Up-to-date,Yes,June Week 1,2025-06-07 00:00:00.0000000,18.6546,2.9521,1827,0
34393,COVID,Region,Region 4,Overall,6 months-17 years,Up-to-date,Yes,June Week 4,2025-06-28 00:00:00.0000000,8.2615,0.8119,17567,0
34394,COVID,State,Maryland,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 3,2025-05-17 00:00:00.0000000,30.3188,16.5611,72,0
34395,COVID,Region,Region 5,Overall,6 months-17 years,Up-to-date,Yes,June Week 3,2025-06-21 00:00:00.0000000,16.3456,1.0586,13544,0
34396,COVID,State,Maryland,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,June Week 2,2025-06-14 00:00:00.0000000,35.1765,17.1885,54,0
34397,COVID,Region,Region 4,Overall,6 months-17 years,Up-to-date,Yes,May Week 1,2025-05-03 00:00:00.0000000,7.9432,0.6797999999999998,17567,0
34398,COVID,State,Maryland,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,June Week 3,2025-06-21 00:00:00.0000000,24.4828,15.5003,49,0
34399,COVID,Region,Region 5,Overall,6 months-17 years,Up-to-date,Yes,May Week 2,2025-05-10 00:00:00.0000000,16.146,1.0403,13544,0
34400,COVID,State,Maryland,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,June Week 4,2025-06-28 00:00:00.0000000,17.7034,13.4039,47,0
34401,COVID,Region,Region 4,Overall,6 months-17 years,Up-to-date,Yes,May Week 2,2025-05-10 00:00:00.0000000,7.9432,0.6797999999999998,17567,0
34402,COVID,State,Maryland,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,May Week 4,2025-05-24 00:00:00.0000000,24.9851,15.9361,84,0
34403,COVID,Region,Region 6,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,June Week 3,2025-06-21 00:00:00.0000000,63.7855,7.410599999999999,378,0
34404,COVID,State,Maryland,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,May Week 5,2025-05-31 00:00:00.0000000,28.2067,16.3029,56,0
34405,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,June Week 2,2025-06-14 00:00:00.0000000,53.4656,7.5526,324,0
34406,COVID,State,Maryland,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,June Week 1,2025-06-07 00:00:00.0000000,24.2074,3.5465,2499,0
34407,COVID,Region,Region 6,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 3,2025-05-17 00:00:00.0000000,56.0231,5.5205,639,0
34408,COVID,State,Maryland,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 1,2025-05-03 00:00:00.0000000,23.7848,3.4475,2499,0
34409,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,June Week 4,2025-06-28 00:00:00.0000000,48.8534,8.8636,225,0
34410,COVID,State,Maryland,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 4,2025-05-24 00:00:00.0000000,23.7848,3.4475,2499,0
34411,COVID,Region,Region 6,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 4,2025-05-24 00:00:00.0000000,55.7376,5.2828,696,0
34412,COVID,State,Maryland,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 5,2025-05-31 00:00:00.0000000,23.9961,3.4475,2499,0
34413,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,June Week 2,2025-06-14 00:00:00.0000000,6.9119,3.2055,324,0
34414,COVID,State,Maryland,Overall,6 months-17 years,Up-to-date,Yes,June Week 2,2025-06-14 00:00:00.0000000,24.2074,3.5465,2499,0
34415,COVID,Region,Region 6,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 5,2025-05-31 00:00:00.0000000,57.6597,5.8235,547,0
34416,COVID,State,Massachusetts,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 3,2025-05-17 00:00:00.0000000,44.2446,13.4086,65,0
34417,COVID,Region,Region 5,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,June Week 3,2025-06-21 00:00:00.0000000,5.3572,4.3595,284,0
34418,COVID,State,Massachusetts,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 4,2025-05-24 00:00:00.0000000,46.4958,11.3335,97,0
34419,COVID,Region,Region 6,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,June Week 2,2025-06-14 00:00:00.0000000,5.9026,2.9386,491,0
